entry_time,exit_time,entry_price,exit_price,direction,lots,net_pnl,exit_reason
2026-04-02 00:55:00,2026-04-02 01:15:00,4768.0,4778.0,LONG,8,1360.0,Signal_Close
2026-04-02 01:35:00,2026-04-02 01:45:00,4779.0,4772.0,SHORT,8,760.0,Signal_Close
2026-04-02 01:55:00,2026-04-02 05:35:00,4768.0,4721.0,LONG,8,-10040.0,Signal_Close
2026-04-02 05:50:00,2026-04-02 20:20:00,4717.0,4839.0,SHORT,3,-9390.0,Signal_Close
2026-04-02 23:05:00,2026-04-03 01:05:00,4818.0,4820.0,LONG,3,-90.0,Signal_Close
2026-04-03 01:15:00,2026-04-03 05:05:00,4811.0,4836.0,LONG,4,2180.0,Signal_Close
2026-04-03 05:15:00,2026-04-03 05:35:00,4833.0,4839.0,SHORT,2,-460.0,Signal_Close
2026-04-03 05:45:00,2026-04-03 06:40:00,4846.0,4805.0,LONG,3,-3315.0,Signal_Close
2026-04-03 18:35:00,2026-04-03 18:45:00,4804.0,4824.0,LONG,3,1260.0,Signal_Close
2026-04-03 20:25:00,2026-04-03 23:30:00,4816.0,4817.0,SHORT,3,-315.0,Signal_Close
2026-04-04 00:00:00,2026-04-04 00:10:00,4820.0,4813.0,SHORT,3,285.0,Signal_Close
2026-04-04 01:30:00,2026-04-06 18:40:00,4829.0,4814.0,SHORT,6,1770.0,Signal_Close
2026-04-06 18:50:00,2026-04-06 19:30:00,4797.0,4827.0,LONG,2,1340.0,Signal_Close
2026-04-06 20:05:00,2026-04-06 23:00:00,4837.0,4850.0,SHORT,3,-1215.0,Signal_Close
2026-04-06 23:10:00,2026-04-06 23:20:00,4842.0,4844.0,SHORT,3,-390.0,Signal_Close
2026-04-07 00:20:00,2026-04-07 00:35:00,4814.0,4827.0,LONG,2,490.0,Signal_Close
2026-04-07 00:45:00,2026-04-07 05:05:00,4824.0,4831.0,LONG,3,285.0,Signal_Close
2026-04-07 05:35:00,2026-04-07 05:45:00,4834.0,4830.0,SHORT,3,60.0,Signal_Close
2026-04-07 05:55:00,2026-04-07 06:20:00,4827.0,4819.0,LONG,3,-840.0,Signal_Close
2026-04-07 06:30:00,2026-04-07 06:40:00,4819.0,4832.0,SHORT,3,-1215.0,Signal_Close
2026-04-07 06:50:00,2026-04-07 18:30:00,4829.0,4847.0,LONG,3,1110.0,Signal_Close
2026-04-07 18:40:00,2026-04-07 19:55:00,4836.0,4853.0,LONG,2,690.0,Signal_Close
2026-04-07 22:45:00,2026-04-07 22:55:00,4821.0,4818.0,LONG,3,-465.0,Signal_Close
2026-04-07 23:45:00,2026-04-08 00:25:00,4821.0,4788.0,LONG,4,-3620.0,Signal_Close
2026-04-08 00:35:00,2026-04-08 01:00:00,4779.0,4782.0,LONG,2,-10.0,Signal_Close
2026-04-08 01:35:00,2026-04-08 01:45:00,4760.0,4765.0,SHORT,3,-615.0,Signal_Close
2026-04-08 05:05:00,2026-04-08 05:25:00,4780.0,4771.0,SHORT,3,435.0,Signal_Close
2026-04-08 05:35:00,2026-04-08 06:25:00,4771.0,4769.0,LONG,3,-390.0,Signal_Close
2026-04-08 06:35:00,2026-04-08 06:45:00,4768.0,4756.0,SHORT,4,880.0,Signal_Close
2026-04-08 06:55:00,2026-04-08 23:05:00,4759.0,4591.0,SHORT,4,16480.0,Signal_Close
2026-04-08 23:50:00,2026-04-09 00:05:00,4587.0,4600.0,LONG,4,980.0,Signal_Close
2026-04-09 01:30:00,2026-04-09 01:40:00,4584.0,4591.0,LONG,4,380.0,Signal_Close
2026-04-09 01:50:00,2026-04-09 05:50:00,4597.0,4578.0,LONG,4,-2220.0,Signal_Close
2026-04-09 06:00:00,2026-04-09 06:30:00,4577.0,4597.0,LONG,3,1260.0,Signal_Close
2026-04-09 06:45:00,2026-04-09 06:55:00,4606.0,4609.0,LONG,3,-15.0,Signal_Close
2026-04-09 18:50:00,2026-04-09 22:35:00,4616.0,4615.0,SHORT,3,-165.0,Signal_Close
2026-04-09 22:45:00,2026-04-09 22:55:00,4627.0,4632.0,SHORT,3,-615.0,Signal_Close
2026-04-09 23:05:00,2026-04-09 23:15:00,4637.0,4635.0,SHORT,4,-120.0,Signal_Close
2026-04-09 23:45:00,2026-04-09 23:55:00,4636.0,4633.0,LONG,5,-775.0,Signal_Close
2026-04-10 00:05:00,2026-04-10 00:15:00,4638.0,4640.0,LONG,5,-150.0,Signal_Close
2026-04-10 00:25:00,2026-04-10 00:35:00,4638.0,4642.0,LONG,5,100.0,Signal_Close
